,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate
0,MetaDrive-td3combine-expt_with_safe_fix_again,421,96.32119854714773,1186,2,2.8132567405700684,,,,0.0
1,MetaDrive-td3combine-expt_with_safe_fix_again,390,148.32529573601914,2706,4,6.927011966705322,,,,0.0
2,MetaDrive-td3combine-expt_with_safe_fix_again,401,168.07567533560734,3211,5,7.995206117630005,,,,0.0
3,MetaDrive-td3combine-expt_with_safe_fix_again,404,158.22470047003313,4212,6,10.408887147903442,,,,0.0
4,MetaDrive-td3combine-expt_with_safe_fix_again,337,155.79430653623498,5502,8,16.2915141582489,18.53765869140625,,3.087125301361084,0.0
5,MetaDrive-td3combine-expt_with_safe_fix_again,272,150.5876105839347,6503,9,23.854833602905273,19.208545684814453,-19.470563888549805,4.749220848083496,0.0
6,MetaDrive-td3combine-expt_with_safe_fix_again,234,179.01364242314932,7447,11,31.753442525863647,25.647140502929688,-25.394332885742188,3.6083011627197266,0.0
7,MetaDrive-td3combine-expt_with_safe_fix_again,207,221.38684848157683,8530,13,41.143799781799316,17.805009841918945,,2.302947521209717,0.07692307692307693
8,MetaDrive-td3combine-expt_with_safe_fix_again,196,214.44271021985384,9531,14,48.3827702999115,23.400514602661133,-24.369125366210938,3.9450769424438477,0.07142857142857142
9,MetaDrive-td3combine-expt_with_safe_fix_again,186,215.96120233873825,10966,16,58.81855130195618,29.079307556152344,,2.188188076019287,0.125
10,MetaDrive-td3combine-expt_with_safe_fix_again,180,210.25389893836038,11967,17,66.25461983680725,21.82468032836914,-21.654306411743164,7.80231237411499,0.11764705882352941
11,MetaDrive-td3combine-expt_with_safe_fix_again,178,209.70549078110125,12285,18,68.94334769248962,29.346023559570312,-29.61046600341797,10.027533531188965,0.1111111111111111
12,MetaDrive-td3combine-expt_with_safe_fix_again,174,215.7782988566915,13286,19,76.30065298080444,24.59583282470703,,9.478161811828613,0.10526315789473684
13,MetaDrive-td3combine-expt_with_safe_fix_again,170,215.6481797406206,14531,21,85.40665030479431,33.498291015625,-34.39824295043945,7.628109455108643,0.09523809523809523
14,MetaDrive-td3combine-expt_with_safe_fix_again,165,225.35751825097367,15963,23,96.40879392623901,29.938152313232422,-30.346721649169922,3.937335729598999,0.13043478260869565
15,MetaDrive-td3combine-expt_with_safe_fix_again,164,220.42912286067167,16222,24,98.88838791847229,28.00261878967285,,8.081668853759766,0.125
16,MetaDrive-td3combine-expt_with_safe_fix_again,161,221.8221317785357,17223,25,106.85652422904968,26.642534255981445,-26.046850204467773,3.576793670654297,0.12
17,MetaDrive-td3combine-expt_with_safe_fix_again,158,215.9095441488321,18062,27,113.95289254188538,29.072677612304688,,6.688260555267334,0.1111111111111111
18,MetaDrive-td3combine-expt_with_safe_fix_again,154,202.35397258556048,19839,30,128.1507489681244,24.967849731445312,-25.300796508789062,10.172103881835938,0.13333333333333333
19,MetaDrive-td3combine-expt_with_safe_fix_again,153,204.44208075531037,20249,31,131.75217962265015,33.632286071777344,-34.39898681640625,11.83985710144043,0.12903225806451613
20,MetaDrive-td3combine-expt_with_safe_fix_again,151,210.67915830288462,21291,34,140.6771969795227,32.2469482421875,-31.922698974609375,12.46483039855957,0.14705882352941177
21,MetaDrive-td3combine-expt_with_safe_fix_again,150,211.05392578749135,22533,36,149.77105617523193,31.155487060546875,-31.162464141845703,39.06575012207031,0.1388888888888889
22,MetaDrive-td3combine-expt_with_safe_fix_again,149,212.23027344005467,23063,38,154.4163601398468,32.50822830200195,-33.118431091308594,14.784143447875977,0.13157894736842105
23,MetaDrive-td3combine-expt_with_safe_fix_again,147,200.78092196513077,24025,44,162.57966089248657,30.54641342163086,-30.195499420166016,29.313568115234375,0.11363636363636363
24,MetaDrive-td3combine-expt_with_safe_fix_again,145,201.51932716110926,25411,46,174.15825629234314,27.07210922241211,-26.969051361083984,6.632491111755371,0.10869565217391304
25,MetaDrive-td3combine-expt_with_safe_fix_again,145,199.5741861925173,26412,47,181.52046012878418,29.949825286865234,,3.3252859115600586,0.10638297872340426
26,MetaDrive-td3combine-expt_with_safe_fix_again,144,199.86470116774512,27158,50,187.77940678596497,34.120174407958984,,25.78000259399414,0.1
27,MetaDrive-td3combine-expt_with_safe_fix_again,143,194.5969252436585,28111,55,195.94376516342163,31.18482208251953,-30.648696899414062,7.311652183532715,0.09090909090909091
28,MetaDrive-td3combine-expt_with_safe_fix_again,142,186.4725696770147,29874,62,210.21475553512573,33.33890151977539,,14.734357833862305,0.08064516129032258
29,MetaDrive-td3combine-expt_with_safe_fix_again,141,184.55516892919454,30875,63,218.44638872146606,25.64315414428711,-25.30388641357422,4.542959690093994,0.07936507936507936
30,MetaDrive-td3combine-expt_with_safe_fix_again,141,181.58206973193882,31963,65,226.47221446037292,34.10478210449219,-34.532623291015625,6.729290008544922,0.07692307692307693
31,MetaDrive-td3combine-expt_with_safe_fix_again,140,180.68904665917418,32964,66,233.8771369457245,30.28192901611328,,14.866240501403809,0.07575757575757576
