,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate
0,MetaDrive-Gen-DrivingReward-v0,344,56.11116062018174,2001,2,5.811218023300171,,,,0.0
1,MetaDrive-Gen-DrivingReward-v0,372,46.792349978203184,3581,4,9.617210149765015,,,,0.0
2,MetaDrive-Gen-DrivingReward-v0,379,46.48841609322109,4582,5,12.070967197418213,,,,0.0
3,MetaDrive-Gen-DrivingReward-v0,401,48.345818512020195,5583,6,13.902367115020752,,,,0.0
4,MetaDrive-Gen-DrivingReward-v0,404,46.21017334389074,6266,7,15.47349214553833,,,,0.0
5,MetaDrive-Gen-DrivingReward-v0,390,45.71805987010202,7931,9,20.3179452419281,,,,0.0
6,MetaDrive-Gen-DrivingReward-v0,387,42.391411101504424,8298,10,21.43657398223877,,,,0.0
7,MetaDrive-Gen-DrivingReward-v0,398,43.20728054736242,9299,11,23.34350323677063,,,,0.0
8,MetaDrive-Gen-DrivingReward-v0,352,48.50417738401375,10065,12,28.576276063919067,0.08082317560911179,-0.10122025012969971,0.07240233570337296,0.0
9,MetaDrive-Gen-DrivingReward-v0,138,15.62904466357837,11013,50,79.45116329193115,0.39936307072639465,-0.5031865239143372,0.39566463232040405,0.0
10,MetaDrive-Gen-DrivingReward-v0,90,10.52447618842387,12033,89,132.73236107826233,0.7391947507858276,-0.8080838918685913,0.4283447265625,0.0
11,MetaDrive-Gen-DrivingReward-v0,70,3.8401416146738803,13010,127,183.66459798812866,0.9849251508712769,,0.6494582891464233,0.0
12,MetaDrive-Gen-DrivingReward-v0,56,4.0542990212945655,14002,164,246.95702815055847,1.292037010192871,,0.5986886024475098,0.0
13,MetaDrive-Gen-DrivingReward-v0,49,6.349204123223444,15026,201,301.5067489147186,1.821047067642212,,0.13133221864700317,0.0
14,MetaDrive-Gen-DrivingReward-v0,45,27.835535221951307,16065,223,354.5395929813385,2.6333253383636475,-3.011573314666748,1.564441204071045,0.0
15,MetaDrive-Gen-DrivingReward-v0,42,36.900455109773695,17059,251,403.65026116371155,3.5714051723480225,-4.256168365478516,4.32863712310791,0.0
16,MetaDrive-Gen-DrivingReward-v0,39,42.903143980097745,18052,281,452.56851720809937,4.699092864990234,,3.035820245742798,0.0
17,MetaDrive-Gen-DrivingReward-v0,38,62.839142812069504,19031,292,495.4843780994415,7.055345058441162,-7.343236446380615,5.774118423461914,0.0
18,MetaDrive-Gen-DrivingReward-v0,37,91.27733383602191,20008,298,537.3203840255737,9.559993743896484,,2.47906494140625,0.01
19,MetaDrive-Gen-DrivingReward-v0,35,129.61908230008285,21298,304,592.2758150100708,13.540372848510742,,11.898896217346191,0.03
20,MetaDrive-Gen-DrivingReward-v0,35,161.67613692949143,22330,307,637.642412185669,15.956586837768555,,25.502506256103516,0.04
21,MetaDrive-Gen-DrivingReward-v0,34,184.19191757924256,23171,311,674.1566898822784,21.77904510498047,-22.5568904876709,15.962618827819824,0.04
22,MetaDrive-Gen-DrivingReward-v0,33,200.6915930134355,24174,317,718.104593038559,24.94952964782715,,6.079623699188232,0.04
23,MetaDrive-Gen-DrivingReward-v0,32,226.77355143964942,25043,320,759.5443551540375,26.772666931152344,-27.739818572998047,32.05295181274414,0.04
