,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate
0,MetaDrive-Gen-LaneWidth-v0,623,11.745824800033375,2001,2,3.211700916290283,,,,0.0
1,MetaDrive-Gen-LaneWidth-v0,650,11.464140851423224,3002,3,4.6173927783966064,,,,0.0
2,MetaDrive-Gen-LaneWidth-v0,632,10.859342186996749,4003,4,6.3335957527160645,,,,0.0
3,MetaDrive-Gen-LaneWidth-v0,650,11.210531198287612,5004,5,7.697969913482666,,,,0.0
4,MetaDrive-Gen-LaneWidth-v0,638,11.175380886319218,6005,6,9.40828275680542,,,,0.0
5,MetaDrive-Gen-LaneWidth-v0,639,11.409221995731414,7006,7,10.952605962753296,,,,0.0
6,MetaDrive-Gen-LaneWidth-v0,616,11.195508925238414,8007,8,12.985805749893188,,,,0.0
7,MetaDrive-Gen-LaneWidth-v0,603,11.131663936377688,9008,9,14.935799837112427,,,,0.0
8,MetaDrive-Gen-LaneWidth-v0,610,11.105017506862044,10009,10,16.396158933639526,0.009800711646676064,-0.017503103241324425,0.0027357619255781174,0.0
9,MetaDrive-Gen-LaneWidth-v0,231,2.340368530371479,11016,45,47.51175498962402,0.01832590438425541,,0.6119680404663086,0.0
10,MetaDrive-Gen-LaneWidth-v0,151,2.557427707909761,12128,60,79.86485886573792,0.11979242414236069,,0.039669688791036606,0.0
11,MetaDrive-Gen-LaneWidth-v0,122,3.972896186416594,13025,79,106.37836170196533,0.14610247313976288,-0.11076657474040985,0.24329929053783417,0.0
12,MetaDrive-Gen-LaneWidth-v0,102,6.698835399591107,14014,101,136.32555174827576,0.3264807462692261,,0.30209779739379883,0.0
13,MetaDrive-Gen-LaneWidth-v0,90,9.799823197139283,15069,123,165.6069839000702,0.6386458873748779,-0.8236511945724487,0.5656479001045227,0.0
14,MetaDrive-Gen-LaneWidth-v0,82,15.887185187662944,16033,138,193.45784497261047,0.9886929392814636,-1.0727646350860596,0.4060319662094116,0.0
15,MetaDrive-Gen-LaneWidth-v0,77,22.003818365469915,17064,154,220.84278178215027,1.46477472782135,,0.7404295206069946,0.0
16,MetaDrive-Gen-LaneWidth-v0,73,25.511297089761502,18006,169,246.5083408355713,2.19638729095459,,0.2810930013656616,0.0
17,MetaDrive-Gen-LaneWidth-v0,69,31.22170286812161,19019,183,273.3429877758026,3.167027711868286,-3.2905640602111816,0.3326758146286011,0.0
18,MetaDrive-Gen-LaneWidth-v0,66,35.443028130195124,20050,197,300.86670184135437,3.4697108268737793,,6.0241875648498535,0.0
19,MetaDrive-Gen-LaneWidth-v0,64,41.72711137548558,21040,208,327.1814308166504,4.865140438079834,,2.270556926727295,0.0
20,MetaDrive-Gen-LaneWidth-v0,62,47.94989417113184,22021,219,353.746554851532,5.188112258911133,-5.30120325088501,2.044924259185791,0.0
21,MetaDrive-Gen-LaneWidth-v0,60,55.04812234473586,23076,229,381.92847895622253,6.469430446624756,,3.302487373352051,0.0
22,MetaDrive-Gen-LaneWidth-v0,58,61.05932938776677,24091,239,408.51726269721985,7.301461696624756,-7.896306991577148,8.277040481567383,0.0
23,MetaDrive-Gen-LaneWidth-v0,57,63.90553828181756,25069,250,434.6609888076782,7.9623637199401855,-7.973784446716309,6.281815528869629,0.0
24,MetaDrive-Gen-LaneWidth-v0,56,69.43824453079415,26065,261,461.0230667591095,9.05167293548584,-9.111370086669922,9.296628952026367,0.0
25,MetaDrive-Gen-LaneWidth-v0,55,73.22771411834837,27084,272,487.88785099983215,9.815759658813477,,4.996350288391113,0.0
26,MetaDrive-Gen-LaneWidth-v0,54,77.05969699598475,28047,282,513.0926778316498,11.218297958374023,-11.266364097595215,5.3418779373168945,0.0
27,MetaDrive-Gen-LaneWidth-v0,53,78.9167589662602,29097,293,540.6497259140015,12.341975212097168,-12.392457008361816,8.297967910766602,0.0
28,MetaDrive-Gen-LaneWidth-v0,53,81.51767416586394,30050,303,566.2020869255066,13.342297554016113,,5.514134407043457,0.0
29,MetaDrive-Gen-LaneWidth-v0,52,84.14150495244698,31076,313,593.6360337734222,13.824625968933105,,4.880200386047363,0.0
30,MetaDrive-Gen-LaneWidth-v0,51,85.14026132306786,32048,322,619.1457827091217,15.272476196289062,,2.4792187213897705,0.0
31,MetaDrive-Gen-LaneWidth-v0,51,85.18900973410858,33039,332,645.4206006526947,16.81905746459961,-17.27143669128418,12.821100234985352,0.0
32,MetaDrive-Gen-LaneWidth-v0,50,84.96211596993861,34021,342,673.049165725708,17.277584075927734,-17.6875,19.233932495117188,0.0
33,MetaDrive-Gen-LaneWidth-v0,49,89.76233317565085,35039,348,700.9252138137817,18.293325424194336,-18.591949462890625,7.38101863861084,0.0
34,MetaDrive-Gen-LaneWidth-v0,49,96.72635935141025,36093,351,728.6436398029327,19.781185150146484,-20.96957778930664,5.048400402069092,0.01
35,MetaDrive-Gen-LaneWidth-v0,49,105.07657026581424,37495,356,764.9269058704376,19.886978149414062,-20.343965530395508,16.878007888793945,0.03
36,MetaDrive-Gen-LaneWidth-v0,48,111.77028096508178,38556,358,794.8651518821716,22.586763381958008,,3.903838634490967,0.05
37,MetaDrive-Gen-LaneWidth-v0,48,118.37891237323225,39512,360,822.7399518489838,22.270217895507812,,17.853660583496094,0.07
38,MetaDrive-Gen-LaneWidth-v0,47,119.67231583990606,40256,364,842.9235317707062,21.464141845703125,,5.368422508239746,0.08
39,MetaDrive-Gen-LaneWidth-v0,47,127.20606214882152,41327,367,871.4685218334198,23.174278259277344,-23.969406127929688,8.935553550720215,0.1
40,MetaDrive-Gen-LaneWidth-v0,47,133.16181457880666,42451,371,901.2507708072662,25.30086898803711,-26.069883346557617,18.580371856689453,0.11
41,MetaDrive-Gen-LaneWidth-v0,46,136.42842220935106,43052,373,917.0136318206787,25.642892837524414,,8.751158714294434,0.12
42,MetaDrive-Gen-LaneWidth-v0,46,143.76071172622042,44275,375,950.9581398963928,27.211227416992188,-27.839012145996094,11.078173637390137,0.14
43,MetaDrive-Gen-LaneWidth-v0,46,149.10987401026367,45130,378,975.0307629108429,27.195009231567383,,15.19375228881836,0.15
44,MetaDrive-Gen-LaneWidth-v0,46,154.73258945321578,46121,380,1002.0479779243469,27.049882888793945,-27.607929229736328,13.613117218017578,0.17
45,MetaDrive-Gen-LaneWidth-v0,45,163.0255149083613,47625,384,1044.9000639915466,27.167083740234375,-28.24163055419922,7.668237209320068,0.19
46,MetaDrive-Gen-LaneWidth-v0,45,165.4343468161522,48208,386,1060.2616698741913,29.12713623046875,,16.14206314086914,0.2
47,MetaDrive-Gen-LaneWidth-v0,45,170.43677213517623,49050,388,1082.7706246376038,30.24869728088379,,10.843147277832031,0.22
48,MetaDrive-Gen-LaneWidth-v0,45,174.65250719061635,50052,391,1109.7091510295868,30.966867446899414,,7.801049709320068,0.23
49,MetaDrive-Gen-LaneWidth-v0,44,180.32321288187526,51078,396,1137.2855999469757,30.730178833007812,,3.8761091232299805,0.25
50,MetaDrive-Gen-LaneWidth-v0,44,185.72692741673373,52180,399,1166.8876638412476,31.24341583251953,,9.039695739746094,0.26
51,MetaDrive-Gen-LaneWidth-v0,44,191.27769068138502,53235,402,1195.3217899799347,30.971384048461914,-31.795452117919922,17.37725067138672,0.28
52,MetaDrive-Gen-LaneWidth-v0,44,196.37201725839182,54015,404,1216.4163918495178,33.249080657958984,-33.848182678222656,13.47978687286377,0.3
53,MetaDrive-Gen-LaneWidth-v0,44,197.7651853341752,55025,410,1242.9387757778168,32.38711929321289,-33.235748291015625,5.315441131591797,0.31
54,MetaDrive-Gen-LaneWidth-v0,44,204.68009236510375,56153,414,1271.8695378303528,33.38231658935547,-34.03328323364258,4.934661388397217,0.34
55,MetaDrive-Gen-LaneWidth-v0,44,209.90868970788372,57215,418,1299.1507098674774,34.07642364501953,-34.67824935913086,4.809497833251953,0.36
56,MetaDrive-Gen-LaneWidth-v0,34,210.08697037477535,58080,423,1682.0678458213806,35.56664276123047,,3.2806363105773926,0.36
57,MetaDrive-Gen-LaneWidth-v0,34,213.5791595238768,59142,428,1709.9309220314026,36.0819091796875,,12.096025466918945,0.37
58,MetaDrive-Gen-LaneWidth-v0,31,217.94736561485456,60197,432,1892.8563468456268,36.60942459106445,-37.24188995361328,15.77754020690918,0.39
59,MetaDrive-Gen-LaneWidth-v0,31,222.64519956790338,61008,435,1914.9854388237,36.1783332824707,,24.490612030029297,0.41
60,MetaDrive-Gen-LaneWidth-v0,31,231.4914566369531,62262,438,1948.3394758701324,33.538570404052734,,19.918689727783203,0.43
61,MetaDrive-Gen-LaneWidth-v0,32,234.58657421356554,63075,441,1969.4324917793274,35.266788482666016,-35.648372650146484,18.28067398071289,0.44
62,MetaDrive-Gen-LaneWidth-v0,32,239.35003911481866,64063,444,1995.686271905899,36.86552810668945,-37.35370635986328,15.155046463012695,0.45
63,MetaDrive-Gen-LaneWidth-v0,32,242.72164028025068,65408,447,2031.0048809051514,37.995479583740234,,17.088523864746094,0.47
