,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate
0,MetaDrive-Gen-LaneWidthNum-v0,870,12.270771126102662,2001,2,2.2981908321380615,,,,0.0
1,MetaDrive-Gen-LaneWidthNum-v0,698,12.219276388117576,3002,3,4.296767950057983,,,,0.0
2,MetaDrive-Gen-LaneWidthNum-v0,702,11.46365637946493,4003,4,5.696737766265869,,,,0.0
3,MetaDrive-Gen-LaneWidthNum-v0,699,11.632989346882855,5004,5,7.150227785110474,,,,0.0
4,MetaDrive-Gen-LaneWidthNum-v0,718,11.527540871678156,6005,6,8.361856698989868,,,,0.0
5,MetaDrive-Gen-LaneWidthNum-v0,709,11.829509746677434,7006,7,9.881155729293823,,,,0.0
6,MetaDrive-Gen-LaneWidthNum-v0,702,10.66528596783323,8864,9,12.615231990814209,,,,0.0
7,MetaDrive-Gen-LaneWidthNum-v0,720,10.668583609285992,9865,10,13.683729887008667,,,,0.0
8,MetaDrive-Gen-LaneWidthNum-v0,668,9.627654906112795,10038,11,15.025998830795288,-0.010449203662574291,,0.1963498592376709,0.0
9,MetaDrive-Gen-LaneWidthNum-v0,258,2.534489797472649,11004,46,42.560643672943115,0.11004388332366943,,0.011694022454321384,0.0
10,MetaDrive-Gen-LaneWidthNum-v0,168,1.958644109310042,12023,81,71.33674168586731,0.1734784096479416,-0.13438303768634796,0.04247184842824936,0.0
11,MetaDrive-Gen-LaneWidthNum-v0,132,3.9172477963520476,13003,104,98.27668356895447,0.2707081139087677,-0.28580594062805176,0.2901707589626312,0.0
12,MetaDrive-Gen-LaneWidthNum-v0,111,6.580965063282126,14036,128,125.65300464630127,0.5209138989448547,,0.6262840628623962,0.0
13,MetaDrive-Gen-LaneWidthNum-v0,98,11.88042269582381,15036,147,152.29576659202576,0.8135358095169067,,0.7653065919876099,0.0
14,MetaDrive-Gen-LaneWidthNum-v0,89,16.970192323106236,16042,165,178.7082438468933,1.313114047050476,,0.18220633268356323,0.0
15,MetaDrive-Gen-LaneWidthNum-v0,83,20.433291787011573,17027,184,204.32305097579956,1.6870384216308594,-1.821385145187378,1.8041319847106934,0.0
16,MetaDrive-Gen-LaneWidthNum-v0,78,21.09556620529181,18007,205,230.24549984931946,2.43394136428833,-2.529395580291748,0.8684356212615967,0.0
17,MetaDrive-Gen-LaneWidthNum-v0,73,22.506433128528606,19023,225,257.160356760025,2.7571091651916504,-3.1016898155212402,2.0846903324127197,0.0
18,MetaDrive-Gen-LaneWidthNum-v0,70,23.485873057302587,20009,242,283.9961316585541,3.640153408050537,-3.7216737270355225,1.7803486585617065,0.0
19,MetaDrive-Gen-LaneWidthNum-v0,67,24.72597233976679,21056,258,311.4651577472687,4.415426254272461,,3.202383041381836,0.0
20,MetaDrive-Gen-LaneWidthNum-v0,65,28.095220161568125,22003,271,336.67464089393616,4.947761058807373,-5.033082008361816,1.4396494626998901,0.0
21,MetaDrive-Gen-LaneWidthNum-v0,63,33.85106544691456,23093,284,365.00611877441406,5.5759687423706055,-5.617151737213135,6.386296272277832,0.0
22,MetaDrive-Gen-LaneWidthNum-v0,61,40.06675283796756,24007,295,388.57563281059265,6.56227970123291,-6.576875686645508,1.4198697805404663,0.0
23,MetaDrive-Gen-LaneWidthNum-v0,60,47.72291143539354,25046,305,416.16573882102966,7.211053371429443,,6.251472473144531,0.0
24,MetaDrive-Gen-LaneWidthNum-v0,58,55.94761032300942,26109,316,443.08613300323486,8.323257446289062,-8.41170883178711,2.4916536808013916,0.01
25,MetaDrive-Gen-LaneWidthNum-v0,57,62.52206450587447,27070,326,467.3557686805725,8.78355884552002,,7.928055286407471,0.01
26,MetaDrive-Gen-LaneWidthNum-v0,56,67.47533269143449,28086,337,493.75538992881775,9.61013126373291,,3.765911340713501,0.01
27,MetaDrive-Gen-LaneWidthNum-v0,56,74.2639039003918,29025,346,518.0379776954651,10.782758712768555,-10.73633098602295,0.8934430480003357,0.01
28,MetaDrive-Gen-LaneWidthNum-v0,55,79.97282038237304,30080,357,544.823032617569,12.081384658813477,,3.1194639205932617,0.01
29,MetaDrive-Gen-LaneWidthNum-v0,54,83.67344630728232,31043,368,569.5130486488342,12.661005020141602,-12.482919692993164,4.637019157409668,0.01
30,MetaDrive-Gen-LaneWidthNum-v0,53,84.41727726257535,32065,379,595.7352199554443,13.301523208618164,-13.587074279785156,10.47205638885498,0.01
31,MetaDrive-Gen-LaneWidthNum-v0,53,88.01294410155435,33124,390,622.9172139167786,14.695035934448242,,12.318571090698242,0.01
32,MetaDrive-Gen-LaneWidthNum-v0,52,91.36736698604112,34303,399,653.101756811142,15.566076278686523,-16.325763702392578,13.137735366821289,0.02
33,MetaDrive-Gen-LaneWidthNum-v0,52,93.69571845988509,35084,403,672.9207637310028,16.115524291992188,,8.774290084838867,0.03
34,MetaDrive-Gen-LaneWidthNum-v0,51,99.6653525952457,36026,407,696.3045687675476,16.10516357421875,,12.147336959838867,0.05
35,MetaDrive-Gen-LaneWidthNum-v0,51,102.72806166644382,37071,412,723.320063829422,17.327491760253906,-17.166229248046875,11.678096771240234,0.05
36,MetaDrive-Gen-LaneWidthNum-v0,50,106.69180791497584,38342,419,756.2938008308411,19.46173858642578,,7.7815093994140625,0.04
37,MetaDrive-Gen-LaneWidthNum-v0,50,109.15172420221752,39108,424,775.3209836483002,19.417640686035156,,17.933897018432617,0.04
38,MetaDrive-Gen-LaneWidthNum-v0,49,115.4970193333932,40542,430,812.4654688835144,21.179771423339844,,19.565555572509766,0.06
39,MetaDrive-Gen-LaneWidthNum-v0,49,120.09670734686745,41506,434,837.2891697883606,22.25929832458496,,8.169063568115234,0.06
40,MetaDrive-Gen-LaneWidthNum-v0,49,125.75473214866615,42383,437,859.7064337730408,22.090065002441406,-22.134355545043945,22.58185577392578,0.08
41,MetaDrive-Gen-LaneWidthNum-v0,49,128.38842378255882,43054,439,877.1245546340942,22.316513061523438,,8.37027359008789,0.08
42,MetaDrive-Gen-LaneWidthNum-v0,48,130.12586952925503,44076,445,903.1607139110565,21.544662475585938,,18.260360717773438,0.09
43,MetaDrive-Gen-LaneWidthNum-v0,48,136.59068190539784,45092,447,929.8441338539124,24.300859451293945,,17.4914608001709,0.1
44,MetaDrive-Gen-LaneWidthNum-v0,48,143.0191032882841,46357,450,963.5957407951355,25.448951721191406,-25.98969268798828,17.705753326416016,0.12
45,MetaDrive-Gen-LaneWidthNum-v0,47,146.19125337319932,47033,454,980.3467326164246,25.442920684814453,-26.07744026184082,20.280956268310547,0.12
46,MetaDrive-Gen-LaneWidthNum-v0,47,151.10409871350333,48168,460,1009.4895255565643,25.282344818115234,,14.893617630004883,0.13
47,MetaDrive-Gen-LaneWidthNum-v0,47,156.992680351491,49265,463,1037.8580148220062,25.815120697021484,-26.29920196533203,15.433649063110352,0.15
48,MetaDrive-Gen-LaneWidthNum-v0,47,161.50427214127055,50112,467,1059.3351275920868,26.343990325927734,,24.231952667236328,0.16
49,MetaDrive-Gen-LaneWidthNum-v0,47,165.61173784600356,51177,473,1086.2638726234436,27.959867477416992,-28.502731323242188,16.186805725097656,0.18
50,MetaDrive-Gen-LaneWidthNum-v0,46,171.17690752066218,52165,476,1111.8970036506653,28.376930236816406,-28.623655319213867,6.378429889678955,0.19
51,MetaDrive-Gen-LaneWidthNum-v0,46,175.13791052080313,53081,482,1135.236657857895,29.015480041503906,-29.73569679260254,7.621441841125488,0.19
52,MetaDrive-Gen-LaneWidthNum-v0,46,181.25225594729002,54140,486,1161.8825075626373,29.88983154296875,,41.913536071777344,0.21
53,MetaDrive-Gen-LaneWidthNum-v0,46,184.0164197832709,55030,490,1184.8929228782654,29.341882705688477,,6.37782096862793,0.22
54,MetaDrive-Gen-LaneWidthNum-v0,46,192.88716083492926,56319,494,1217.6165099143982,30.36652183532715,-30.90340805053711,16.474197387695312,0.25
55,MetaDrive-Gen-LaneWidthNum-v0,46,196.4385603394161,57071,497,1236.2579238414764,33.02386474609375,-33.292903900146484,14.601436614990234,0.26
