,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,actor_loss,critic_loss,target_q,success_rate
0,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected-diff-arch,214,184.21288306731407,1097,2,5.105541229248047,-42.48250961303711,27.87830352783203,41.72687530517578,0.5
1,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected-diff-arch,85,130.23781625454623,2231,4,26.004929065704346,-31.796947479248047,7.0327324867248535,31.112295150756836,0.25
2,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected-diff-arch,77,124.74771479088209,3232,5,41.79947328567505,,7.729616165161133,26.93625259399414,0.2
3,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected-diff-arch,71,125.49223967905894,4563,8,64.08870339393616,-29.596914291381836,7.7430925369262695,30.08643913269043,0.125
4,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected-diff-arch,69,124.63331799786637,5318,9,76.24950313568115,,10.218257904052734,28.493146896362305,0.1111111111111111
5,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected-diff-arch,67,134.55992425345156,6621,11,98.42513513565063,-36.64710998535156,5.462259292602539,36.707515716552734,0.09090909090909091
6,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected-diff-arch,66,133.7107333587879,7622,12,114.99458813667297,,4.067080497741699,38.29969787597656,0.08333333333333333
7,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected-diff-arch,64,128.9355478595788,8187,13,127.37054014205933,-37.74893569946289,8.283857345581055,38.182334899902344,0.07692307692307693
8,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected-diff-arch,62,128.56641721228235,9188,14,146.99355697631836,,9.632461547851562,36.07250213623047,0.07142857142857142
9,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected-diff-arch,60,119.38159118775673,10179,17,167.63591122627258,-34.8706169128418,12.818001747131348,34.39649200439453,0.058823529411764705
10,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected-diff-arch,60,119.14001304080632,11180,18,185.9173502922058,,6.709952354431152,32.74250411987305,0.05555555555555555
11,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected-diff-arch,58,121.4280768732327,12181,19,206.95259809494019,-36.899478912353516,11.4429292678833,36.413917541503906,0.05263157894736842
12,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected-diff-arch,58,121.29801684184973,13428,21,227.9111773967743,,8.290460586547852,35.91963195800781,0.047619047619047616
13,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected-diff-arch,59,120.74304645703161,14429,22,244.3366720676422,-38.703495025634766,5.5995330810546875,39.14264678955078,0.045454545454545456
14,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected-diff-arch,58,127.69082442046486,15060,23,255.91726899147034,,8.396678924560547,34.46712875366211,0.08695652173913043
15,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected-diff-arch,58,128.60518281730074,16061,24,272.55015230178833,-42.55914306640625,14.117341995239258,43.274871826171875,0.08333333333333333
16,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected-diff-arch,58,129.17386813455832,17062,25,290.6725010871887,,19.062923431396484,34.50297164916992,0.08
17,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected-diff-arch,57,125.63860478072783,18063,26,315.1059901714325,-37.438720703125,11.259573936462402,36.241207122802734,0.07692307692307693
18,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected-diff-arch,57,127.87565717213485,19064,27,334.4271731376648,,7.371557712554932,37.31105422973633,0.07407407407407407
