,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,actor_loss,critic_loss,target_q,success_rate
0,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected,597,6.86304873510692,1054,2,1.7648379802703857,,0.0008640098385512829,0.03609664738178253,0.0
1,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected,133,-1.792342100602363,2364,16,17.70330810546875,,0.011977527290582657,0.05915221571922302,0.0
2,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected,115,-2.057775383874807,3630,18,31.436249017715454,,0.002536079380661249,0.05995860695838928,0.0
3,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected,111,-2.169028889698247,4631,19,41.70261192321777,-0.060566797852516174,0.003119644708931446,0.05376356467604637,0.0
4,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected,108,-2.3405497162510196,5295,20,48.78422999382019,-0.060859810560941696,0.004247033037245274,0.052839167416095734,0.0
5,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected,105,-2.6461614892754173,6831,22,64.68639588356018,-0.03926278278231621,0.8035000562667847,-0.028390681371092796,0.0
6,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected,103,-2.6024476105970167,7958,24,76.73364901542664,,0.01180662214756012,0.015045621432363987,0.0
7,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected,103,-2.770243239763374,8478,25,82.17328906059265,,0.6481685042381287,-0.051227450370788574,0.0
8,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected,102,-2.7744303896406004,9479,26,92.5740270614624,-0.01802607998251915,0.0007506735855713487,0.003251862246543169,0.0
9,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected,101,-2.8097862058329275,10480,27,102.91374802589417,,0.0028134442400187254,-0.026642967015504837,0.0
10,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected,101,-2.9416995997632642,11689,29,115.2880311012268,0.06697474420070648,0.003780961036682129,-0.035930316895246506,0.0
11,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected,101,-2.9563394738324593,12690,30,125.41604781150818,,0.004069190938025713,-0.046780358999967575,0.0
12,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected,100,-2.82799150002056,13691,31,135.68604278564453,0.06224869191646576,0.006033342331647873,-0.047533851116895676,0.0
13,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected,100,-2.930871112452833,14156,32,140.48833107948303,,0.0030138608999550343,-0.04671783372759819,0.0
14,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected,100,-2.9421462542895367,15311,35,152.52129411697388,0.05199939012527466,0.001617314643226564,-0.05979285016655922,0.0
15,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected,100,-3.0040947022021283,16180,36,161.3987331390381,,0.0017634782707318664,-0.0677553340792656,0.0
16,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected,99,-2.954477506116083,17300,38,173.05577611923218,,0.001557184848934412,-0.07967527210712433,0.0
17,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected,99,-2.854394078906895,18301,39,183.22620797157288,0.09520398825407028,0.00013769246288575232,-0.08835906535387039,0.0
18,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected,99,-2.8655732146898565,19552,42,196.200199842453,,9.883390157483518e-05,-0.09972353279590607,0.0
19,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected,99,-2.775186541662854,20553,43,206.36980199813843,0.10718948394060135,5.2470120863290504e-05,-0.10874278098344803,0.0
20,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected,99,-2.7377574116911965,21554,44,216.53535199165344,,0.0008513660286553204,-0.1171206682920456,0.0
21,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected,99,-2.8307920862613227,22749,46,228.82183504104614,0.12714609503746033,0.000101509052910842,-0.12627269327640533,0.0
22,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected,99,-2.847413027823838,23750,47,238.9817349910736,,0.00018924669711850584,-0.13745133578777313,0.0
23,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected,99,-2.9034971739246487,24555,48,247.23151397705078,0.16738244891166687,0.7394949793815613,-0.2219068706035614,0.0
24,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected,98,-2.9045403587607592,25556,49,258.2346758842468,,0.00033070892095565796,-0.15517981350421906,0.0
25,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected,98,-2.906468425992785,26218,50,265.0638289451599,,0.00017180078430101275,-0.1611243486404419,0.0
26,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected,98,-2.549923606813393,27014,77,275.4751601219177,,0.0027006566524505615,-0.14187969267368317,0.0
27,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected,97,-2.6456382325597367,28386,93,290.693696975708,,0.0009882551385089755,-0.1586860865354538,0.0
28,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected,97,-2.495967230487939,29011,105,298.5643000602722,0.19293153285980225,0.01457896176725626,-0.14573407173156738,0.0
29,MetaDrive-td3combine-expt_with_safe-leaky-adamw-in-q-weighted-corrected,96,-1.6063591692159978,30006,125,311.50751304626465,,0.014321156777441502,-0.07656992226839066,0.0
