,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate
0,MetaDrive-td3combine-expt_with_safe_fix,427,12.90128147822537,2001,2,4.68185019493103,,,,0.0
1,MetaDrive-td3combine-expt_with_safe_fix,453,9.896606970885484,3567,4,7.866313695907593,,,,0.0
2,MetaDrive-td3combine-expt_with_safe_fix,425,9.286024224008045,4568,5,10.742626190185547,,,,0.0
3,MetaDrive-td3combine-expt_with_safe_fix,384,9.022001892008541,5135,6,13.371523141860962,-0.08282546699047089,0.05256872624158859,0.0018775381613522768,0.0
4,MetaDrive-td3combine-expt_with_safe_fix,243,-0.28742321848726454,6564,26,26.978692770004272,-0.03671310096979141,,0.008722914382815361,0.0
5,MetaDrive-td3combine-expt_with_safe_fix,213,-0.237457999565135,7565,27,35.36308979988098,-0.024272359907627106,0.012988036498427391,0.003628365695476532,0.0
6,MetaDrive-td3combine-expt_with_safe_fix,191,-0.535482122431506,8829,30,46.21997547149658,-0.015016045421361923,0.008920158259570599,0.0027270230930298567,0.0
7,MetaDrive-td3combine-expt_with_safe_fix,182,-0.5513363615112532,9830,31,54.00011444091797,-0.024780569598078728,,0.006615499034523964,0.0
8,MetaDrive-td3combine-expt_with_safe_fix,174,-0.6376293071750615,10945,33,62.65894269943237,-0.021820280700922012,-0.00016756076365709305,0.009665192104876041,0.0
9,MetaDrive-td3combine-expt_with_safe_fix,173,-0.7906029822017625,11177,34,64.50423002243042,0.0012677033664658666,-9.163343929685652e-05,0.01308007538318634,0.0
10,MetaDrive-td3combine-expt_with_safe_fix,169,-0.678336756177177,12178,35,72.00219058990479,0.0013742309529334307,,0.007279824465513229,0.0
11,MetaDrive-td3combine-expt_with_safe_fix,161,-0.6726161418595956,13574,37,83.898273229599,-0.04929402470588684,,0.4789178967475891,0.0
12,MetaDrive-td3combine-expt_with_safe_fix,156,-0.4790083022590609,14923,40,95.48726391792297,0.0700325071811676,-0.09361561387777328,0.00483491737395525,0.0
13,MetaDrive-td3combine-expt_with_safe_fix,154,-0.544213924916777,15423,41,99.67487335205078,0.08400741964578629,-0.09569385647773743,0.0008718377794139087,0.0
14,MetaDrive-td3combine-expt_with_safe_fix,152,-0.5306530654510367,16226,42,106.1111912727356,0.10351863503456116,,0.003352783853188157,0.0
15,MetaDrive-td3combine-expt_with_safe_fix,150,-0.38441207564845303,17227,43,114.38059639930725,0.11001450568437576,-0.10619895160198212,0.002362004481256008,0.0
16,MetaDrive-td3combine-expt_with_safe_fix,148,-0.371728451108031,18327,45,123.6013662815094,0.14629898965358734,-0.1700528860092163,0.0012061605229973793,0.0
17,MetaDrive-td3combine-expt_with_safe_fix,147,-0.3383221532608247,19074,46,129.50955891609192,0.1306716650724411,,0.004827728495001793,0.0
18,MetaDrive-td3combine-expt_with_safe_fix,145,-0.44679901101519987,20131,49,138.11670541763306,0.1637115329504013,-0.16634850203990936,0.004021726083010435,0.0
19,MetaDrive-td3combine-expt_with_safe_fix,144,-0.5387127483125856,21134,52,146.55449771881104,0.16943402588367462,,0.008004486560821533,0.0
20,MetaDrive-td3combine-expt_with_safe_fix,142,-0.6063250649152073,22165,57,155.4940242767334,0.17956990003585815,-0.20619262754917145,0.0037593687884509563,0.0
21,MetaDrive-td3combine-expt_with_safe_fix,142,-0.5982928236695714,23070,58,162.36115741729736,0.21564586460590363,,0.0008947179303504527,0.0
22,MetaDrive-td3combine-expt_with_safe_fix,141,-0.6671135300219452,24012,62,169.97405529022217,0.22334235906600952,,0.00781289767473936,0.0
23,MetaDrive-td3combine-expt_with_safe_fix,139,-0.2997329176970702,25140,69,180.00110626220703,0.25115513801574707,,0.0015965155325829983,0.0
24,MetaDrive-td3combine-expt_with_safe_fix,138,-0.22912032952810613,26418,72,190.21038579940796,0.27000272274017334,,0.0005327167455106974,0.0
25,MetaDrive-td3combine-expt_with_safe_fix,137,-0.2949199437226516,27143,77,197.0858118534088,0.29129883646965027,-0.2563171982765198,0.006639538332819939,0.0
26,MetaDrive-td3combine-expt_with_safe_fix,137,-0.2547948428079477,28075,81,204.75017285346985,0.20313148200511932,-0.2687978148460388,0.8339828252792358,0.0
27,MetaDrive-td3combine-expt_with_safe_fix,136,0.33269058244503796,29405,84,215.22636008262634,0.32597896456718445,-0.32654333114624023,0.005221704486757517,0.0
28,MetaDrive-td3combine-expt_with_safe_fix,135,0.8043647659591182,30067,93,221.36080265045166,0.34093785285949707,-0.35805779695510864,0.005366108380258083,0.0
29,MetaDrive-td3combine-expt_with_safe_fix,134,2.0110777319766235,31035,112,231.3565661907196,0.4092675745487213,-0.40441128611564636,0.012843672186136246,0.0
30,MetaDrive-td3combine-expt_with_safe_fix,132,3.246797016873235,32015,131,241.3387839794159,0.4856926202774048,-0.5023017525672913,0.008521628566086292,0.0
31,MetaDrive-td3combine-expt_with_safe_fix,130,5.040092519251667,33001,153,252.3973536491394,0.4182206988334656,-0.6379249095916748,1.9844043254852295,0.0
32,MetaDrive-td3combine-expt_with_safe_fix,128,6.041646189889912,34030,179,264.2689039707184,0.7764356732368469,,0.023343272507190704,0.0
33,MetaDrive-td3combine-expt_with_safe_fix,127,6.195006489370705,35017,199,274.05395007133484,0.906805157661438,-0.9565763473510742,0.04468211531639099,0.0
34,MetaDrive-td3combine-expt_with_safe_fix,126,7.7722897608286265,36038,220,284.48942494392395,1.020553469657898,,1.1924934387207031,0.0
35,MetaDrive-td3combine-expt_with_safe_fix,125,8.700143309963725,37028,243,295.5414865016937,1.2262028455734253,,1.20062255859375,0.0
36,MetaDrive-td3combine-expt_with_safe_fix,124,9.73345808881047,38133,260,306.8245646953583,1.4915528297424316,-1.6518508195877075,1.3332629203796387,0.0
37,MetaDrive-td3combine-expt_with_safe_fix,123,10.919843526767899,39014,279,315.24526476860046,1.9071941375732422,,0.21603724360466003,0.0
38,MetaDrive-td3combine-expt_with_safe_fix,123,10.64481074912288,40022,299,324.93422532081604,2.1810364723205566,,0.05738544464111328,0.0
39,MetaDrive-td3combine-expt_with_safe_fix,122,12.708252736564834,41006,314,334.64733815193176,2.365776538848877,,1.65250825881958,0.0
40,MetaDrive-td3combine-expt_with_safe_fix,122,16.07574414615389,42005,327,343.84261679649353,2.794753313064575,-2.8956775665283203,0.05431819707155228,0.0
41,MetaDrive-td3combine-expt_with_safe_fix,121,17.14268884382346,43027,341,352.92980790138245,3.0097761154174805,-3.041982889175415,4.153206825256348,0.0
42,MetaDrive-td3combine-expt_with_safe_fix,121,18.977043003921313,44006,355,362.5628356933594,3.4937868118286133,,2.164860486984253,0.0
43,MetaDrive-td3combine-expt_with_safe_fix,121,21.233837987956882,45061,367,371.88237738609314,3.8315541744232178,-4.1937079429626465,5.229531288146973,0.0
44,MetaDrive-td3combine-expt_with_safe_fix,121,22.270944160240354,46008,378,380.18319869041443,4.317458629608154,,2.901763439178467,0.0
45,MetaDrive-td3combine-expt_with_safe_fix,121,26.3019999495765,47842,388,395.1819312572479,5.357836723327637,,0.4040180742740631,0.0
46,MetaDrive-td3combine-expt_with_safe_fix,121,26.426245453653294,48045,390,396.8646433353424,5.299694538116455,-5.491907119750977,0.261276513338089,0.0
47,MetaDrive-td3combine-expt_with_safe_fix,120,26.580339004137386,49024,400,405.1878447532654,5.861431121826172,,0.19671234488487244,0.0
48,MetaDrive-td3combine-expt_with_safe_fix,120,28.138333187224926,50356,406,417.2099931240082,6.488425254821777,,0.4720279574394226,0.0
49,MetaDrive-td3combine-expt_with_safe_fix,120,27.42137848182002,51030,415,423.67934560775757,6.3104634284973145,,4.932483196258545,0.0
50,MetaDrive-td3combine-expt_with_safe_fix,120,27.0225048611766,52132,417,432.784197807312,7.256427764892578,,0.3135220408439636,0.0
51,MetaDrive-td3combine-expt_with_safe_fix,120,29.391109614713706,53044,424,441.3126971721649,7.256673812866211,,0.539609432220459,0.01
52,MetaDrive-td3combine-expt_with_safe_fix,120,32.096940602199666,54005,432,449.699542760849,7.0950026512146,-7.6376447677612305,11.07858943939209,0.01
53,MetaDrive-td3combine-expt_with_safe_fix,119,36.04980385918057,55096,438,459.3168954849243,8.197811126708984,,1.0949493646621704,0.03
