,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate
0,MetaDrive-td3combine-new-expt,441,191.15943715498236,2001,2,4.537003755569458,,,,0.0
1,MetaDrive-td3combine-new-expt,427,295.6710911520393,3077,4,7.194653749465942,,,,0.5
2,MetaDrive-td3combine-new-expt,425,322.82208710279804,4078,5,9.575754404067993,,,,0.4
3,MetaDrive-td3combine-new-expt,405,325.91733972748773,5134,7,12.6652672290802,31.801956176757812,,1.0299798250198364,0.5714285714285714
4,MetaDrive-td3combine-new-expt,274,303.1056912760712,6530,9,23.818622827529907,26.969100952148438,,3.1993541717529297,0.5555555555555556
5,MetaDrive-td3combine-new-expt,245,264.42000957698525,7139,12,29.029722929000854,25.46933364868164,-26.08696937561035,2.1993465423583984,0.4166666666666667
6,MetaDrive-td3combine-new-expt,217,245.76742583544055,8475,15,38.999691009521484,26.060199737548828,-26.227630615234375,1.483973503112793,0.3333333333333333
7,MetaDrive-td3combine-new-expt,205,256.83580320742027,9012,16,43.906304597854614,27.959728240966797,,7.928980350494385,0.375
8,MetaDrive-td3combine-new-expt,186,237.91570055303774,10205,19,54.711366176605225,22.0986328125,-22.489891052246094,7.9353861808776855,0.3157894736842105
9,MetaDrive-td3combine-new-expt,177,238.0474125024842,11630,21,65.65666770935059,26.16830825805664,,14.58883285522461,0.2857142857142857
10,MetaDrive-td3combine-new-expt,172,229.163068629878,12906,24,74.99707293510437,32.39801025390625,,4.293454170227051,0.25
11,MetaDrive-td3combine-new-expt,170,226.57539977963927,13113,25,76.7849473953247,28.421857833862305,-28.560588836669922,3.604663133621216,0.24
12,MetaDrive-td3combine-new-expt,166,229.80369687432812,14136,29,84.86310315132141,33.129425048828125,,8.099833488464355,0.27586206896551724
13,MetaDrive-td3combine-new-expt,162,243.90914810959885,15342,32,94.12276983261108,30.714128494262695,,28.201160430908203,0.34375
14,MetaDrive-td3combine-new-expt,160,245.78948547273168,16645,34,103.75236701965332,31.232269287109375,-31.799724578857422,9.801681518554688,0.3235294117647059
15,MetaDrive-td3combine-new-expt,158,236.12990302017613,17104,37,107.76830530166626,31.37454605102539,,5.102507591247559,0.2972972972972973
16,MetaDrive-td3combine-new-expt,155,234.75116256510938,18224,42,116.95656776428223,28.488588333129883,,5.423140048980713,0.2619047619047619
17,MetaDrive-td3combine-new-expt,152,231.0500344564212,19497,45,128.02779269218445,34.615943908691406,-35.150997161865234,3.0002691745758057,0.24444444444444444
18,MetaDrive-td3combine-new-expt,151,228.77242960530313,20112,48,133.08921909332275,25.565216064453125,,3.3033461570739746,0.22916666666666666
19,MetaDrive-td3combine-new-expt,149,221.81188696906904,21052,53,140.79956126213074,34.44080352783203,,4.345090389251709,0.20754716981132076
